Date,Open,High,Low,Close,Adj Close,Volume
2022-05-19,643.299988,657.750000,641.200012,650.200012,649.211792,9216948
2022-05-20,659.750000,675.750000,658.000000,673.099976,672.076965,9708672
2022-05-23,673.000000,684.799988,668.549988,675.349976,674.323547,7919353
2022-05-24,669.700012,681.450012,661.200012,664.049988,663.040710,8088546
2022-05-25,668.000000,672.650024,660.049988,665.000000,663.989319,5169619
2022-05-26,672.950012,685.250000,668.000000,683.250000,682.211548,10114633
2022-05-27,689.000000,693.799988,684.250000,688.299988,687.253845,5539060
2022-05-30,695.099976,698.000000,690.099976,693.650024,692.595764,3818060
2022-05-31,689.000000,696.000000,683.049988,685.200012,684.158630,10410424
2022-06-01,683.000000,692.450012,680.500000,686.049988,685.007263,6966674
2022-06-02,682.000000,693.150024,682.000000,691.549988,690.498901,6347433
2022-06-03,697.299988,698.000000,673.150024,677.299988,676.270569,8475726
2022-06-06,677.000000,684.000000,670.299988,672.200012,671.178345,6756864
2022-06-07,672.200012,678.000000,661.099976,665.849976,664.837952,8312778
2022-06-08,670.000000,673.549988,655.450012,658.599976,657.598999,9282494
2022-06-09,656.950012,662.750000,650.000000,661.299988,660.294922,5682743
2022-06-10,655.500000,663.700012,652.200012,660.700012,659.695862,6758832
2022-06-13,646.950012,652.000000,640.099976,648.950012,647.963684,6135431
2022-06-14,645.000000,655.700012,643.099976,650.750000,649.760925,5391833
2022-06-15,654.000000,656.349976,647.200012,650.500000,649.511353,4638336
2022-06-16,657.500000,658.200012,631.049988,634.900024,633.935059,5960283
2022-06-17,630.000000,640.799988,626.599976,635.200012,634.234619,6849201
2022-06-20,635.250000,637.150024,622.200012,628.299988,627.345032,5305222
2022-06-21,632.000000,645.349976,628.150024,636.500000,635.532593,10333886
2022-06-22,632.549988,633.650024,621.250000,626.799988,625.847351,5899024
2022-06-23,627.400024,640.849976,618.250000,629.349976,628.393433,8450777
2022-06-24,634.349976,642.450012,631.650024,634.000000,633.036438,6918584
2022-06-27,644.000000,646.900024,634.700012,637.099976,636.131653,4552114
2022-06-28,634.000000,644.700012,632.000000,642.349976,641.373718,10711123
2022-06-29,636.349976,637.799988,623.500000,625.549988,624.599243,13620084
2022-06-30,624.000000,639.299988,623.650024,636.799988,635.832153,10563138
2022-07-01,633.000000,646.599976,631.799988,643.950012,642.971313,6549359
2022-07-04,641.549988,655.150024,640.500000,654.349976,653.355469,3933384
2022-07-05,656.099976,659.900024,646.000000,648.500000,647.514343,5044787
2022-07-06,652.000000,659.400024,651.000000,657.950012,656.950012,6684686
2022-07-07,663.450012,664.500000,651.650024,658.150024,658.150024,11171714
2022-07-08,667.000000,676.799988,661.400024,669.150024,669.150024,12669533
2022-07-11,666.549988,681.950012,665.349976,679.849976,679.849976,14864123
2022-07-12,677.000000,685.250000,673.000000,676.200012,676.200012,6446810
2022-07-13,680.000000,685.000000,676.950012,679.900024,679.900024,9614674
2022-07-14,678.599976,680.450012,665.599976,668.250000,668.250000,8026311
2022-07-15,670.000000,674.200012,659.099976,662.200012,662.200012,6015057
2022-07-18,668.049988,688.000000,663.450012,684.500000,684.500000,12464664
2022-07-19,678.599976,703.849976,678.599976,700.599976,700.599976,10171314
